NodeID,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,-176.58867,-203.18423,-177.64746,-145.78804,172.34479,148.41469,218.71521,76.79241,88.84003,178.78618,-191.90231,185.2982,246.39287,110.33128,106.56402,233.7633,-225.05005,-239.14922,118.373764,168.2077,225.2595,17.641148,126.54147,233.90782,-199.14787,238.0754,-150.39963,34.674904,213.9102,-100.43016,-235.2294,-221.18124
58,-306.64542,-345.68033,-303.7439,-250.35626,291.39014,253.39148,372.14508,132.07158,151.69434,303.32413,-329.2316,317.26926,424.73126,192.42749,185.21634,400.08218,-385.16528,-409.20932,204.71893,291.01987,385.30612,30.994688,217.19533,398.7491,-338.58908,406.38458,-262.73334,61.338543,369.15924,-177.71988,-407.26944,-375.45853
123,-386.68353,-433.3367,-381.3089,-314.69446,364.6021,317.98727,466.49393,166.05962,190.33165,379.93008,-413.70883,398.44592,534.44525,242.94743,233.60783,502.39407,-483.6563,-513.80725,257.86145,366.5921,483.7341,39.189888,272.95663,500.1368,-424.34607,509.88586,-331.86172,77.77714,464.67178,-225.29388,-513.11554,-470.35883
151,-208.84958,-238.55142,-208.94244,-171.7309,201.89311,174.46298,256.80737,90.51148,104.45196,209.69751,-225.9829,218.05542,290.65067,130.69434,126.076096,275.03815,-264.78824,-281.35913,139.7912,198.67671,264.9867,20.962793,149.04454,274.8215,-233.75856,279.86084,-178.26622,41.27771,252.43507,-119.59892,-277.91687,-259.47025
181,-107.88103,-127.78049,-110.95313,-90.5161,109.29798,92.892876,137.45337,47.53455,55.538864,112.86254,-119.28936,115.465225,152.10492,66.9919,65.01992,145.79747,-140.36174,-149.14445,72.76268,103.31064,140.5545,10.584729,78.56416,146.66486,-125.34431,148.92802,-91.08475,20.666574,131.82817,-59.667603,-144.30595,-139.54523
230,-196.35768,-224.8526,-196.82164,-161.68564,190.45238,164.37529,242.05344,85.20046,98.40305,197.72469,-212.78311,205.36674,273.5066,122.80854,118.519806,259.05212,-249.39655,-265.01285,131.4977,186.87695,249.60043,19.67264,140.3276,258.9766,-220.35605,263.67728,-167.47218,38.721046,237.51486,-112.17528,-261.38342,-244.6402
266,-256.72293,-291.01736,-255.36894,-210.22345,245.71762,213.10907,313.3028,110.86002,127.602455,255.55223,-276.54498,266.64926,356.3166,160.91608,155.03142,336.27335,-323.7416,-343.9691,171.57477,243.8889,323.91507,25.890173,182.42522,335.51178,-285.0945,341.8326,-219.62561,51.08922,309.59158,-148.0514,-341.25757,-316.2735
308,-245.058,-278.2047,-244.0371,-200.84366,235.02632,203.68756,299.49704,105.89521,121.93186,244.34682,-264.2074,254.77219,340.2749,153.5482,147.9642,321.31815,-309.3481,-328.694,163.83626,232.8607,309.5177,24.656801,174.27069,320.6935,-272.57556,326.69867,-209.51599,48.70751,295.65237,-141.11894,-325.78873,-302.39432
437,-405.5679,-454.06763,-399.64288,-329.8758,381.89804,333.23798,488.8232,174.08812,199.49852,398.0597,-433.67032,417.66104,560.4005,254.8731,245.04434,526.5907,-506.94296,-538.51996,270.3904,384.44333,507.0225,41.177177,286.14902,524.1098,-444.59818,534.36426,-348.22412,81.64066,487.22955,-236.51898,-538.1464,-492.81366
529,-281.70285,-318.38834,-279.58893,-230.30643,268.57803,233.27199,342.77164,121.47442,139.67625,279.47443,-302.92273,291.99997,390.5758,176.68565,170.1395,368.22058,-354.49677,-376.6296,188.15912,267.47916,354.6553,28.45974,199.83855,367.17197,-311.8727,374.15735,-241.20808,56.212646,339.41037,-162.89848,-374.3055,-345.9083
563,-335.71796,-377.54803,-331.9398,-273.7287,317.99268,276.86523,406.45325,144.41695,165.75635,331.1766,-359.93976,346.787,464.62262,210.78156,202.79973,437.2725,-420.97137,-447.22653,224.02322,318.48108,421.08957,33.99314,237.4728,435.60208,-369.75577,444.01648,-287.86053,67.302864,403.87262,-195.004,-445.74112,-409.9584
633,-145.36565,-168.93875,-147.34972,-120.67563,143.72357,123.19586,181.82057,63.506104,73.71785,148.85205,-158.91142,153.5806,203.55247,90.629074,87.68183,193.80397,-186.57793,-198.27394,97.64627,138.7174,186.78937,14.428332,104.751335,194.28825,-165.63089,197.60204,-123.43642,28.296476,176.61652,-81.8889,-193.91296,-184.10767
731,-145.42311,-168.9997,-147.40404,-120.72177,143.77524,123.24191,181.88553,63.53005,73.74352,148.90483,-158.97084,153.63634,203.62839,90.66507,87.71575,193.87503,-186.64664,-198.34769,97.68484,138.77086,186.85735,14.431933,104.789925,194.35895,-165.69173,197.674,-123.48385,28.308899,176.68422,-81.923065,-193.98651,-184.17314
784,-317.093,-357.16068,-313.89703,-258.75714,300.96063,261.83588,384.51224,136.50974,156.77597,313.36188,-340.2876,327.9104,439.10675,199.02652,191.54286,413.47644,-398.06226,-422.89328,211.65463,300.8996,398.19876,32.0977,224.50468,412.0197,-349.8031,419.94342,-271.78558,63.474483,381.65085,-183.93333,-421.12308,-387.88852
1046,-276.49844,-312.68604,-274.54318,-226.12242,263.81564,229.07138,336.6325,119.263145,137.16112,274.49072,-297.4274,286.71866,383.43857,173.40019,166.99194,361.5648,-348.0896,-369.8256,184.704,262.56448,348.25122,27.92449,196.21089,360.57635,-306.29413,367.42346,-236.71164,55.14505,333.19815,-159.80524,-367.42038,-339.7343
1056,-293.02487,-330.73538,-290.5242,-239.40561,278.91528,242.3948,356.04742,126.27879,145.08894,290.25583,-314.83713,303.41913,406.02097,183.82614,176.96895,382.6369,-368.37546,-391.38766,195.6817,278.14783,368.51523,29.56813,207.68587,381.4636,-323.9817,388.73517,-250.93951,58.551556,352.89252,-169.62482,-389.223,-359.27048
1147,-317.0926,-357.15964,-313.8962,-258.7568,300.96008,261.83533,384.51102,136.50963,156.7752,313.361,-340.28677,327.9094,439.10535,199.02621,191.54256,413.47534,-398.0611,-422.89227,211.65437,300.89902,398.19778,32.09723,224.50388,412.0187,-349.80246,419.94217,-271.78497,63.474537,381.65002,-183.93307,-421.122,-387.88742
1203,-354.3529,-397.94995,-349.99432,-288.70813,335.03555,291.90317,428.41074,152.32925,174.74515,349.00534,-379.60373,365.67877,490.1574,222.54317,214.06438,461.08566,-443.8954,-471.57462,236.39713,336.0736,443.99777,35.894444,250.45026,459.20084,-389.71927,468.10605,-303.9493,71.13226,426.10687,-206.08044,-470.3775,-432.0454
1262,-316.0486,-356.01288,-312.88202,-257.9173,300.00378,260.99164,383.27563,136.0662,156.26778,312.35837,-339.1822,326.8463,437.66937,198.36684,190.91045,412.13718,-396.77277,-421.52533,210.96133,299.91183,396.9096,31.987242,223.77379,410.69302,-348.68204,418.58777,-270.8805,63.26101,380.40213,-183.31213,-419.738,-386.6458
1326,-302.53644,-341.21103,-299.78424,-247.05505,287.6411,250.08627,367.34152,130.32593,149.74086,299.42154,-324.91763,313.13757,419.14236,189.83727,182.73904,394.86002,-380.1412,-403.8632,201.99054,287.15262,380.287,30.59976,214.35745,393.57175,-334.20135,401.10895,-259.20706,60.487743,364.27542,-175.28117,-401.86444,-370.61948
1445,-320.21646,-360.58386,-316.92575,-261.26807,303.81873,264.35742,388.19733,137.83653,158.2861,316.35373,-343.5859,331.08093,443.3915,200.99843,193.43216,417.4716,-401.90842,-426.97726,213.72838,303.84955,402.04282,32.419544,226.6824,415.97864,-353.1511,423.9856,-274.485,64.11531,385.37973,-185.78992,-425.2561,-391.59476
1599,-305.89667,-344.857,-303.0164,-249.75446,290.70203,252.78821,371.25674,131.75056,151.32889,302.60266,-328.44034,316.5048,423.70032,191.95428,184.76082,399.11942,-384.24103,-408.22894,204.22421,290.31158,384.37863,30.912014,216.67198,397.79565,-337.78613,405.41248,-262.08032,61.186783,368.2659,-177.27606,-406.2732,-374.56418
1634,-287.948,-325.23087,-285.64368,-235.32715,274.29297,238.31288,350.13828,124.12784,142.69438,285.45483,-309.51697,298.33752,399.14062,180.62816,173.91663,376.2071,-362.18533,-384.7944,192.3055,273.37692,362.3401,29.102009,204.19177,375.0868,-318.56674,382.23807,-246.60406,57.493862,346.8649,-166.61046,-382.56763,-353.317
1713,-301.665,-340.25894,-298.9414,-246.3545,286.84427,249.38399,366.31683,129.95552,149.32219,298.58942,-323.99942,312.25616,417.9509,189.28732,182.21231,393.7481,-379.07114,-402.726,201.41206,286.33038,379.21738,30.512035,213.75223,392.46957,-333.26852,399.98474,-258.45547,60.30838,363.2371,-174.76341,-400.71368,-369.58817
1842,-316.03918,-355.99338,-312.86615,-257.90927,299.99252,260.9807,383.25262,136.06253,156.2543,312.3406,-339.16544,326.82626,437.64365,198.35988,190.90283,412.11633,-396.7516,-421.5059,210.95505,299.89957,396.88818,31.9788,223.75974,410.67297,-348.6674,418.56418,-270.8661,63.26117,380.38492,-183.30551,-419.71713,-386.6251
